GLBRC 2011 Series 1,,,,,,,,,,,,,,,,,
"time entered by:  LC, AO",,,,,,,,,,,,,,,,,
time checked by: DC,,,,,,,,,,,,,,,,,
sample date:  4/7/2011,,,,,,,,,,,,,,,,,
,,,,,,,Box,Box,Box,Box,,,,,,,
G,Block,T0-T3,Microplots,Chamber #,Vial #,Lid Type,Ht (cm),Ht (cm),Ht (cm),Ht (cm),Soil temp,Hours,Minutes,Seconds,Time ,Actual time,Notes
G6,2,1,M1,1,190,Y,17,18,18.5,18.5,1.25,0,19,52,19.9,18.0,Thermometer Broken?
G6,2,2,M1,1,191,Y,17,18,18.5,18.5,1.25,0,37,52,37.9,36.0,Thermometer Broken?
G6,2,3,M1,1,192,Y,17,18,18.5,18.5,1.25,0,55,52,55.9,54.0,Thermometer Broken?
G5,2,0,M1,1,193,Y,18,20,19.5,21,1.5,0,3,26,3.4,0.0,Thermometer Broken?
G5,2,1,M1,1,194,Y,18,20,19.5,21,1.5,0,21,26,21.4,18.0,Thermometer Broken?
G5,2,2,M1,1,195,Y,18,20,19.5,21,1.5,0,39,26,39.4,36.0,Thermometer Broken?
G5,2,3,M1,1,196,Y,18,20,19.5,21,1.5,0,57,26,57.4,54.0,Thermometer Broken?
G5,3,0,M1,1,197,Y,20,18,19,18,1.5,0,5,27,5.5,0.0,Thermometer Broken?
G5,3,1,M1,1,198,Y,20,18,19,18,1.5,0,23,27,23.5,18.0,Thermometer Broken?
G5,3,2,M1,1,199,Y,20,18,19,18,1.5,0,41,27,41.5,36.0,Thermometer Broken?
G5,3,3,M1,1,200,Y,20,18,19,18,1.5,0,59,27,59.5,54.0,Thermometer Broken?
G9,3,0,M1,1,201,Y,20,19,20,19,1.25,0,7,3,7.1,0.0,Thermometer Broken?
G9,3,1,M1,1,202,Y,20,19,20,19,1.25,0,25,3,25.1,18.0,Thermometer Broken?
G9,3,2,M1,1,203,Y,20,19,20,19,1.25,0,43,3,43.1,36.0,Thermometer Broken?
G9,3,3,M1,1,204,Y,20,19,20,19,1.25,1,1,3,61.1,54.0,Thermometer Broken?
G6,3,0,M1,1,205,Y,18,17,17,18,1.5,0,8,55,8.9,0.0,Thermometer Broken?
G6,3,1,M1,1,206,Y,18,17,17,18,1.5,0,26,55,26.9,18.0,Thermometer Broken?
G6,3,2,M1,1,207,Y,18,17,17,18,1.5,0,44,55,44.9,36.0,Thermometer Broken?
G6,3,3,M1,1,208,Y,18,17,17,18,1.5,1,2,55,62.9,54.0,Thermometer Broken?
